objectid,Tipo de Trecho,Jurisdição,Administração,Concessionária,Revestimento,Operacionalização,Situação Física,Tráfego,Canteiro,Capacidade de Carga,Número de Faixas,st_length_,ID,geometria,Código de Trecho,shape,st_length(shape)
1,2,1,0, ,3,1,5,1,0,0,0,3.7099573,1,2,BR 232,,3.709957298186838
9,2,1,0, ,3,1,5,1,0,0,0,0.33984735,9,2,BR 408,,0.33984735062464333
2,2,1,0, ,3,1,5,1,0,0,0,1.26672017,2,2,BR 428,,1.266720174564144
3,2,1,0, ,3,1,5,1,0,0,0,0.78055938,3,2,BR 110,,0.7805593820883533
4,2,1,0, ,3,1,5,1,0,0,0,0.06032569,4,2,BR 424,,0.06032569139380998
5,2,1,0, ,3,1,5,1,0,0,0,0.14301204,5,2,BR 101,,0.14301204400786097
6,2,1,0, ,3,1,5,1,0,0,0,1.17072944,6,2,BR 407,,1.170729436034847
7,2,1,0, ,3,1,5,1,0,0,0,1.35454029,7,2,BR 104,,1.354540293601511
8,2,1,0, ,3,1,5,1,0,0,0,0.08179471,8,2,BR 424,,0.0817947074601466
15,2,2,0, ,3,1,5,1,0,0,0,0.28319622,15,2,PE 337,,0.283196218139403
10,2,1,0, ,3,1,5,1,0,0,0,1.30061476,10,2,BR 316,,1.3006147648464605
11,2,1,0, ,3,1,5,1,0,0,0,0.83625881,11,2,BR 116,,0.8362588062206885
16,2,2,0, ,3,1,5,2,0,0,0,0.14759715,16,2,PE 430,,0.14759714887098963
49,2,2,0, ,3,1,5,2,0,0,0,0.15655665,49,2,PE 160,,0.15655665381326211
12,2,1,0, ,3,1,5,1,0,0,0,1.60990809,12,2,BR 423,,1.609908086460739
29,2,2,0, ,3,1,5,2,0,0,0,0.12407347,29,2,PE 035,,0.12407346582677709
13,2,1,0, ,3,1,5,1,0,0,0,1.34279327,13,2,BR 316,,1.3427932650177878
14,2,1,0, ,3,1,5,1,0,0,0,0.19242901,14,2,BR 316,,0.19242900634324195
69,2,2,0, ,3,1,5,2,0,0,0,0.06761767,69,2,PE 028,,0.06761767343711038
17,2,2,0, ,3,1,5,2,0,0,0,0.6836898,17,2,PE 060,,0.6836898018246416
18,2,2,0, ,3,1,5,2,0,0,0,0.10290543,18,2,PE 422,,0.10290542839708222
19,2,2,0, ,3,1,5,2,0,0,0,0.07959035,19,2,PE 076,,0.07959034676563069
20,2,2,0, ,3,1,5,2,0,0,0,0.07143552,20,2,PE 061,,0.07143552099372932
21,2,2,0, ,3,1,5,2,0,0,0,0.08021783,21,2,PE 038,,0.08021782733558522
71,2,2,0, ,3,1,5,2,0,0,0,0.0339418,71,2,PE 009,,0.03394180105800666
22,2,2,0, ,3,1,5,2,0,0,0,0.17901684,22,2,PE 009,,0.17901683579238534
23,2,2,0, ,3,1,5,2,0,0,0,0.08525237,23,2,PE 051,,0.08525236873900525
24,2,2,0, ,3,1,5,2,0,0,0,0.1769201,24,2,PE 008,,0.17692010172857225
25,2,2,0, ,3,1,5,2,0,0,0,0.25431244,25,2,PE 001,,0.2543124373250078
26,2,2,0, ,3,1,5,2,0,0,0,0.07833171,26,2,PE 014,,0.07833170976072687
27,2,2,0, ,3,1,5,2,0,0,2,0.08870485,27,2,PE 022,,0.0887048537287906
28,2,2,0, ,3,1,5,2,0,0,0,0.04158035,28,2,PE 001,,0.041580351133593166
30,2,2,0, ,3,1,5,2,0,0,2,0.25094384,30,2,PE 005,,0.25094383548353305
31,2,2,0, ,3,1,5,2,0,0,3,0.108388,31,2,PE 015,,0.10838800397873063
33,2,2,0, ,3,1,5,2,0,0,0,0.4941266,33,2,PE 126,,0.49412659869903114
34,2,2,0, ,3,1,5,2,0,0,0,0.36990577,34,2,PE 120,,0.3699057684003244
32,2,2,0, ,3,1,5,2,0,0,0,0.44920936,32,2,PE 096,,0.44920935563537406
35,2,2,0, ,3,1,5,2,0,0,0,0.11632576,35,2,PE 007,,0.11632575757455463
36,2,2,0, ,3,1,5,2,0,0,0,0.17507826,36,2,PE 027,,0.17507825548049688
37,2,2,0, ,3,1,5,2,0,0,0,0.18165555,37,2,PE 052,,0.1816555495623587
38,2,2,0, ,3,1,5,2,0,0,0,0.09748056,38,2,PE 004,,0.09748055789659457
39,2,2,0, ,3,1,5,2,0,0,0,0.35783828,39,2,PE 075,,0.35783827932168727
40,2,2,0, ,3,1,5,2,0,0,0,0.15087584,40,2,PE 062,,0.1508758373650692
41,2,2,0, ,3,1,5,2,0,0,0,0.37771172,41,2,PE 050,,0.3777117157237079
42,2,2,0, ,3,1,5,2,0,0,0,0.30820728,42,2,PE 095,,0.308207280188763
43,2,2,0, ,3,1,5,2,0,0,0,0.09498097,43,2,PE 059,,0.09498097240610523
44,2,2,0, ,3,1,5,2,0,0,0,0.06369692,44,2,PE 074,,0.06369692138939301
45,2,2,0, ,3,1,5,2,0,0,0,0.14495373,45,2,PE 089,,0.144953727566244
46,2,2,0, ,3,1,5,2,0,0,0,0.97316075,46,2,PE 090,,0.9731607549237413
47,2,2,0, ,3,1,5,2,0,0,0,0.23697611,47,2,PE 088,,0.23697611068688748
48,2,2,0, ,3,1,5,2,0,0,0,0.16908084,48,2,PE 130,,0.16908083620404074
50,2,2,0, ,3,1,5,2,0,0,0,0.2848329,50,2,PE 145,,0.2848329028422116
51,2,2,0, ,3,1,5,2,0,0,0,0.06635775,51,2,PE 197,,0.06635775077598789
52,2,2,0, ,3,1,5,2,0,0,0,0.21690705,52,2,PE 063,,0.21690704886315587
57,2,2,0, ,3,1,5,2,0,0,0,0.4894602,57,2,PE 177,,0.4894602027974135
53,2,2,0, ,3,1,5,2,0,0,0,0.26362942,53,2,PE 071,,0.2636294211491183
56,2,2,0, ,3,1,5,2,0,0,0,0.38101021,56,2,PE 112,,0.3810102096592935
54,2,2,0, ,3,1,5,2,0,0,0,0.39790381,54,2,PE 103,,0.3979038111668133
55,2,2,0, ,3,1,5,2,0,0,0,0.14979999,55,2,PE 109,,0.14979999186890186
61,2,2,0, ,1,1,5,2,0,0,0,0.14563045,61,2,PE 070,,0.14563045266164637
63,2,1,0, ,3,1,5,1,0,0,0,0.39832164,63,2,BR 110,,0.39832163686938554
64,2,2,0, ,1,1,5,2,0,0,0,0.29945363,64,2,PE 310,,0.2994536327200218
65,2,2,0, ,3,1,5,2,0,0,0,0.16786464,65,2,PE 283,,0.1678646409464423
66,2,2,0, ,3,1,5,2,0,0,0,0.3116747,66,2,PE 045,,0.31167469901286193
67,2,2,0, ,3,1,5,2,0,0,0,0.22885694,67,2,PE 049,,0.2288569370036857
76,2,2,0, ,3,1,5,2,0,0,0,0.11441309,76,2,PE 054,,0.11441308567262225
77,2,2,0, ,2,1,5,2,0,0,0,0.07447244,77,2,PE 054,,0.07447244223853358
124,2,2,0, ,1,1,5,2,0,0,0,0.01169461,124,2,PE 057,,0.011694609560901835
83,2,2,0, ,3,1,5,2,0,0,0,0.20759445,83,2,PE 102,,0.20759444719149628
172,2,2,0, ,3,1,5,2,0,0,0,0.20307065,172,2,PE 550,,0.20307065092639384
87,2,2,0, ,1,1,5,2,0,0,0,0.18092943,87,2,PE 223,,0.18092942642368753
102,2,2,0, ,3,1,5,2,0,0,0,0.23753694,102,2,PE 435,,0.23753693534493878
167,2,2,0, ,3,1,5,2,0,0,0,0.11002664,167,2,PE 390,,0.11002663596512922
109,2,2,0, ,1,1,5,2,0,0,0,0.29224344,109,2,PE 499,,0.2922434396688341
168,2,2,0, ,1,1,5,2,0,0,0,0.10036246,168,2,PE 418,,0.10036246178293173
115,2,2,0, ,1,1,5,2,0,0,0,0.32460407,115,2,PE 540,,0.32460406847436146
116,2,2,0, ,3,1,5,2,0,0,0,0.11104378,116,2,PE 520,,0.11104378197339797
117,2,2,0, ,1,1,3,2,0,0,0,0.34907767,117,2,PE 630,,0.3490776652493843
169,2,2,0, ,3,1,5,2,0,0,0,0.08253845,169,2,PE 450,,0.08253844710422885
170,2,2,0, ,3,1,5,2,0,0,0,0.11878505,170,2,PE 483,,0.11878504676528269
121,2,2,0, ,1,1,5,2,0,0,0,0.09904945,121,2,PE 390,,0.09904945267531357
122,2,2,0, ,1,1,5,2,0,0,0,0.1778694,122,2,PE 057,,0.17786939845230643
123,2,2,0, ,1,1,5,2,0,0,0,0.02500742,123,2,PE 058,,0.02500741831442542
126,2,2,0, ,2,1,5,2,0,0,0,0.24693973,126,2,PE 187,,0.2469397323477304
127,2,2,0, ,3,1,5,2,0,0,0,0.17489928,127,2,PE 170,,0.17489927597028102
128,2,2,0, ,3,1,5,2,0,0,0,0.19083796,128,2,PE 180,,0.19083795683031582
129,2,2,0, ,3,1,5,2,0,0,0,0.16304157,129,2,PE 217,,0.16304156764479028
130,2,2,0, ,3,1,5,2,0,0,0,0.06417186,130,2,PE 280,,0.06417185623623632
131,2,2,0, ,3,1,5,2,0,0,0,0.15380213,131,2,PE 275,,0.15380213047170754
132,2,2,0, ,3,1,5,2,0,0,0,0.85065737,132,2,PE 320,,0.8506573697946247
133,2,2,0, ,3,1,5,2,0,0,0,0.19683303,133,2,PE 292,,0.19683303081657874
134,2,2,0, ,3,1,5,2,0,0,0,0.29227278,134,2,PE 365,,0.29227277789939027
135,2,2,0, ,3,1,5,2,0,0,0,0.08353931,135,2,PE 350,,0.0835393094828979
171,2,2,0, ,3,1,5,2,0,0,0,0.1802473,171,2,PE 499,,0.1802473047558561
245,2,2,0, ,1,1,5,2,0,0,0,0.02070841,245,2,PE 329,,0.020708410108172055
136,2,2,0, ,1,1,5,2,0,0,0,0.72006277,136,2,PE 340,,0.7200627672490035
137,2,2,0, ,3,1,5,2,0,0,0,0.758283,137,2,PE 390,,0.7582830010838224
138,2,2,0, ,3,1,5,2,0,0,0,0.91090324,138,2,PE 360,,0.9109032437914187
139,2,2,0, ,3,1,5,2,0,0,0,0.24490504,139,2,PE 460,,0.24490504422319673
140,2,2,0, ,3,1,5,2,0,0,0,0.83239383,140,2,PE 507,,0.8323938251308838
141,2,2,0, ,2,1,5,2,0,0,0,0.50931464,141,2,PE 630,,0.5093146448099123
142,2,2,0, ,3,1,5,2,0,0,0,0.16988094,142,2,PE 576,,0.16988094283843366
143,2,2,0, ,3,1,5,2,0,0,0,0.34793989,143,2,PE 555,,0.34793989095231576
157,2,2,0, ,3,1,5,2,0,0,0,0.14322625,157,2,PE 106,,0.14322625355402402
144,2,2,0, ,3,1,5,2,0,0,0,0.48075831,144,2,PE 604,,0.4807583108902953
145,2,2,0, ,3,1,5,2,0,0,0,0.6741949,145,2,PE 545,,0.6741948985106632
146,2,2,0, ,3,1,5,2,0,0,0,0.12089351,146,2,PE 585,,0.12089351202210402
147,2,2,0, ,3,1,5,2,0,0,0,0.04289197,147,2,PE 460,,0.04289197147276477
148,2,2,0, ,2,1,5,2,0,0,0,0.36116808,148,2,PE 214,,0.3611680842316925
149,2,2,0, ,3,1,5,2,0,0,0,0.10108639,149,2,PE 058,,0.1010863858884211
150,2,2,0, ,3,1,5,2,0,0,0,0.13080204,150,2,PE 085,,0.13080204150474106
151,2,2,0, ,3,1,5,2,0,0,0,0.19115981,151,2,PE 040,,0.19115981127847534
152,2,2,0, ,1,1,5,2,0,0,0,0.09687037,152,2,PE 123,,0.09687036561453258
153,2,2,0, ,3,1,5,2,0,0,0,0.03751986,153,2,PE 132,,0.037519861442491836
156,2,2,0, ,1,1,5,2,0,0,0,0.23539623,156,2,PE 078,,0.23539622731641463
158,2,2,0, ,3,1,5,2,0,0,0,0.0652614,158,2,PE 121,,0.06526140453590847
154,2,2,0, ,2,1,5,2,0,0,0,0.37908866,154,2,PE 064,,0.37908865511582596
155,2,2,0, ,3,1,5,2,0,0,0,0.2392678,155,2,PE 053,,0.2392677980896163
166,2,2,0, ,1,1,5,2,0,0,0,0.30298147,166,2,PE 312,,0.30298146660225855
159,2,2,0, ,3,1,3,2,0,0,0,0.12498085,159,2,PE 166,,0.12498084885219317
160,2,2,0, ,3,1,5,2,0,0,0,0.16614505,160,2,PE 219,,0.1661450522518748
161,2,2,0, ,1,1,5,2,0,0,0,0.14930015,161,2,PE 302,,0.14930014860491492
162,2,2,0, ,3,1,5,2,0,0,0,0.21754681,162,2,PE 263,,0.21754680887039266
163,2,2,0, ,3,1,5,2,0,0,0,0.04902897,163,2,PE 158,,0.049028972243335696
173,2,2,0, ,3,1,5,2,0,0,0,0.2419185,173,2,PE 475,,0.24191849804397822
174,2,2,0, ,3,1,5,2,0,0,0,0.20681701,174,2,PE 520,,0.20681700962256774
177,2,2,0, ,3,1,5,2,0,0,0,0.18880576,177,2,PE 615,,0.18880576102298582
178,2,2,0, ,3,1,5,2,0,0,0,0.28768484,178,2,PE 635,,0.28768484494006824
185,2,2,0, ,3,1,5,2,0,0,0,0.40300622,185,2,PE 336,,0.4030062219581091
175,2,2,0, ,1,1,5,2,0,0,0,0.47340721,175,2,PE 540,,0.4734072088125157
176,2,2,0, ,3,1,5,2,0,0,0,0.56437054,176,2,PE 574,,0.564370539099427
227,2,2,0, ,3,1,5,1,0,0,0,0.07296987,227,2,PE 265,,0.07296987100524076
179,2,2,0, ,1,1,5,2,0,0,0,0.71410135,179,2,PE 560,,0.7141013504157571
180,2,2,0, ,1,1,5,2,0,0,0,0.23304619,180,2,PE 590,,0.2330461943514108
181,2,2,0, ,1,1,5,2,0,0,0,0.12994042,181,2,PE 365,,0.1299404179057299
186,2,2,0, ,3,1,5,2,0,0,0,0.59917029,186,2,PE 375,,0.5991702888586811
187,2,2,0, ,1,1,5,2,0,0,0,0.19845912,187,2,PE 700,,0.19845911585857737
188,2,2,0, ,1,1,5,2,0,0,0,0.2112803,188,2,PE 700,,0.2112802994755416
