objectid,Código Gasoduto,Ramal,Código Material,Código Diâmetro,Finalidade,shape,st_length(shape)
1,0,CARUARU/BELO JARDIM,AÇO,4,INDUSTRIAL,,0.02139062849170843
5,0,RUA CAPITÃO REBELINHO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00344969951182798
6,92831,RDA 341.1 - ESTRUTURADOR CIDADE DE GOIANA (PROJETO),AÇO,6,INDUSTRIAL,,0.019298272281862722
7,92200,RDA 341.1 - ESTRUTURADOR CIDADE DE GOIANA,AÇO,6,INDUSTRIAL,,0.009011368147087596
8,92837,AV. CONSELHEIRO AGUIAR,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00002817901035719744
9,92834,RESTAURANTE O LIBANÊS,PEAD,32,COMERCIAL,,0.00002273863692044886
10,92832,RESTAURANTE O LIBANÊS,PEAD,32,COMERCIAL,,0.00015272445702850187
11,92797,EDIF. ACQUA PRINCE,PEAD,32,RESIDENCIAL,,0.000014333956955425812
12,92476,AV. BOA VIAGEM,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000001809668477926275
13,92794,EDIF. CASTELO DE LEIRIA,PEAD,32,RESIDENCIAL,,0.0002024841706802475
14,92723,IND. CERÂMICA BRENNAND,AÇO,3,INDUSTRIAL,,0.0001633756740984996
15,92793,EDIF. CASTELO DE LEIRIA,PEAD,32,RESIDENCIAL,,0.000021450714486934928
16,92471,RUA TOMÉ GIBSON,PEAD,63,RESIDENCIAL/COMERCIAL,,0.001441557187513793
17,91965,POSTO PRESSGAS,AÇO,2,INDUSTRIAL,,0.0007131807536284542
18,91964,RAIMUNDO DA FONTE,AÇO,2,INDUSTRIAL,,0.0000022665491391099375
19,91961,RAIMUNDO DA FONTE,AÇO,2,INDUSTRIAL,,0.0036212950344042716
20,92090,FORMILINE,AÇO,6,INDUSTRIAL,,3.1622776601683795e-9
21,92089,BR-101 NORTE,AÇO,2,INDUSTRIAL,,0.0014869739627382656
22,92088,BR-101,AÇO,2,INDUSTRIAL,,0.0016675515764005035
23,92001,ADIMAX,AÇO,2,INDUSTRIAL,,0.002236522000665505
24,92000,IKEDA,AÇO,2,INDUSTRIAL,,0.000013113733259449803
2,0,CARUARU/BELO JARDIM,AÇO,12,INDUSTRIAL,,0.4296693086126594
3,0,CARUARU/BELO JARDIM,AÇO,3,INDUSTRIAL,,0.009719059661172126
4,0,CARUARU/BELO JARDIM,AÇO,6,INDUSTRIAL,,0.010650975599483062
25,91999,IKEDA,AÇO,2,INDUSTRIAL,,0.0014971031127312133
26,91998,PROLEV,AÇO,2,INDUSTRIAL,,1.114495401515861e-7
27,92698,R. DOS NAVEGANTES,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00026667992239801715
28,92697,SNACK SHACK,PEAD,32,COMERCIAL,,0.00008856024471510905
29,92693,SNACK SHACK,PEAD,32,COMERCIAL,,0.00002083910000455874
30,92653,EDIF. PORTO VENEZA,PEAD,32,RESIDENCIAL,,0.0005168487124556547
31,92604,BEACH CLUB,PEAD,32,COMERCIAL,,0.000009048227505981489
32,92602,BEACH CLUB,PEAD,32,COMERCIAL,,0.0005283998324599774
33,92601,R. FRANCISCO DA CUNHA,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00038716928043493393
34,92598,TONY SPECIAL HOT GOG,PEAD,32,COMERCIAL,,0.000011785006236739969
35,92580,AV. BERNARDO VIEIRA DE MELO,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00020565187695204584
36,92577,EDIF. LAGO DI COMO,PEAD,32,RESIDENCIAL,,0.000029411114365861054
37,92254, RSA 378.1 - NORTH WAY - SHOPPING (PROJETO),AÇO,2,INDUSTRIAL,,0.0019039481476183428
38,92381,PROLEV,AÇO,2,INDUSTRIAL,,0.00020485735718891925
39,92379,ADIMAX,AÇO,2,INDUSTRIAL,,0.0000628221893983423
40,92378,EFFEN,AÇO,2,INDUSTRIAL,,0.004002314638194893
41,92376,MASTERFOODS,AÇO,2,INDUSTRIAL,,0.0002697720213940425
42,92374,PAULISTEX,AÇO,3,INDUSTRIAL,,0.00036163909113662643
43,92370,BR-101/PUCON,AÇO,8,INDUSTRIAL,,9.730878685915264e-8
44,92359,POSTO BRV,AÇO,4,INDUSTRIAL,,0.0039125555346799165
45,92358,POSTO BRV,AÇO,4,INDUSTRIAL,,2.158633827215723e-7
46,91959,PE-15,AÇO,8,INDUSTRIAL,,1.4035668847618198e-8
47,92454,RAMAL 378,AÇO,4,INDUSTRIAL,,4.534313619501854e-8
48,92453,RAMAL 378,AÇO,4,INDUSTRIAL,,0.004557127590663464
49,92450,RAMAL 378,AÇO,4,INDUSTRIAL,,3.8209946349085596e-8
50,91997,WEBER SAINT GOBAIN (ANTIGA QUARTZOLIT),AÇO,2,INDUSTRIAL,,1e-9
51,91996,ADIMAX,AÇO,2,INDUSTRIAL,,0.0013100489507543022
52,91995,QUARTZOLIT,AÇO,2,INDUSTRIAL,,0.0023745111812802935
53,91994,MASTERFOODS,AÇO,2,INDUSTRIAL,,1.4368020044529447e-7
54,91993,EFFEN,AÇO,2,INDUSTRIAL,,1.164817582284883e-7
55,91992,P/RENDA,AÇO,4,INDUSTRIAL,,0.002316049222302783
56,91991,PAULISTEX,AÇO,3,INDUSTRIAL,,1.0096038827183659e-7
57,92651,EDIF. PORTO DAS ROCHAS,PEAD,32,RESIDENCIAL,,0.00006344365255878637
58,92648,EDIF. PORTO DAS ROCHAS,PEAD,32,RESIDENCIAL,,0.0010767776434499826
59,92641,R. DOS NAVEGANTES,PEAD,110,RESIDENCIAL/COMERCIAL,,0.00018062857950447992
