objectid,Tensão,Código LT,Nome,Circuito,Data,Código Operacional,shape,st_length(shape)
1,500,LGZSOBW1,LUIZ GONZAGA-SOBRADINHO,C1,"setembro 30, 1979",05C3,,0.014086170889643238
2,500,SOBLGZW2,SOBRADINHO-LUIZ GONZAGA,C2,"maio 31, 1988",05C4,,0.010326283672637332
3,500,AGDRCDW1,ANGELIM II-RECIFE II,C1,"julho 31, 1977",05L8,,1.5462650183085813
4,500,AGDRCDW2,ANGELIM II-RECIFE II,C2,"fevereiro 29, 1980",05L9,,1.5466243861544884
5,230,AGLRCDU2,ANGELIM-RECIFE II,C2,"dezembro 31, 1966",04M2,,0.000022388907342699865
71,230,RCDMRRU2,RECIFE II-MIRUEIRA,C2,"maio 31, 1980",04C5,,0.002637585268932348
6,230,AGLRIBU1,ANGELIM-RIBEIRAO,C1,"dezembro 31, 1952",04S1,,1.0427575018968653
7,230,BGIACNU1,BONGI-ACONORTE,C1,"julho 31, 1976",04C1,,0.052488334101214326
8,69,JBTRCDR1,JABOATAO-RECIFE II,C1,"dezembro 31, 1964",02V2,,0.0274859474665533
9,230,JRMBGIU1,JOAIRAM-BONGI,C1,"dezembro 31, 1952",04V4,,0.0533508029657674
10,230,MRRGNNU1,MIRUEIRA-GOIANINHA,C1,"novembro 30, 1989",04C7,,0.3250500305622409
11,230,MRRPFEU1,MIRUEIRA-PAU FERRO,C1,"outubro 20, 1999",04F3,,0.07681189614908061
12,500,MSIRCDW1,MESSIAS-RECIFE II,C1,"dezembro 5, 1998",05L7,,1.0101186105044153
13,230,PFECGDU2,PAU FERRO-CAMPINA GRANDE II,C2,"outubro 20, 1999",04C4,,0.013315256207640064
72,230,RCDMRRU2,RECIFE II-MIRUEIRA,C2,"maio 31, 1980",04C5,,0.27681023086347145
14,69,PRDRCDR1,PIRAPAMA II-RECIFE II,C1,"dezembro 31, 1964",02V1,,0.1901177369646998
15,230,RCDJRMU1,RECIFE II-JOAIRAM,C1,"dezembro 31, 1952",04V4,,0.05936780659435743
16,230,RCDJRMU2,RECIFE II-JOAIRAM,C2,"dezembro 31, 1966",04V5,,0.0038745147378705788
