id,cod_eolica,nome_eolica,codmun_eolica,munic_eolica,uf_eolica,proc_aneel_eolica,ato_legal_eolica,p_out_kw_eolica,proprietar_eolica,atualizaca_eolica,eol_versao_eolica,logitude_eolica,latitude_eolica,dro_dt_vig_eolica,ceg_eolica,estagio_eolica,versao_eolica,mod_explor_eolica,lng_eolica,lat_eolica
1,1,Ventos de Santo Estevão IV,260110,Araripina,PE,48500.003968/2013-14,"PRT 181/2015, DSP 1.914/2014, DSP 2.605/2013",30000,Ventos de Santo Estevão Energias Renováveis S.A.,1445385600000,671,"40° 37' 56,947"" W","7° 47' 24,136"" S",,EOLCVPE032365-9,Construção não iniciada,Versão Válida,PIE,-40.63248515599997,-7.790037875999985
2,2,Ventos de Santo Estevão II,260110,Araripina,PE,48500.003970/2013-85,"PRT 452/2014, DSP 2.603/2013",30000,Ventos de Santo Estevão Energias Renováveis S.A.,1445385600000,385,"40°39'47,329""W","7°45'12,474""S",,EOLCVPE031762-4,Construção não iniciada,Versão Válida,PIE,-40.66307164599999,-7.7534680520000165
3,3,Serra das Vacas VII,2610301,Paranatama,PE,48500.004119/2014-51,"PRT 127/2015, DSP 3.482/2014",26000,PEC Energia S.A.,1445385600000,724,"36° 42' 22,888"" W","8° 53' 58,995"" S",, ,Construção não iniciada,Versão Válida,PIE,-36.706357690000004,-8.899720823999985
4,4,Gravatá Fruitrade,2606408,Gravatá,PE,48500.004068/2003-33,"DSP 1105/2010, DSP 4619/2009, DSP 3429/2009, RES 1106/2007, DSP 2453/2007, DSP 582/2006, RES 51/2005, RES 724/2003",4950,Eólica Gravatá Geradora de Energia S.A.,1445385600000,27,"35°35'48""W","8°16'6,7""S",,EOLCVPE029020-3,Operação,Versão Válida,PIE,-35.59640496100002,-8.268160766999983
5,5,Pirauá,2609006,Macaparana,PE,48500.003360/2001-68 e 48500.000889/2002-47,"DSP 1.221/2010, DSP 114/2010, RES 1432/2008, DSP 2738/2007, DSP 580/2006, RES 67/2005, DSP 404/2004, RES 541/2003, RES 30/2002",4950,Eólica Pirauá Geradora de Energia S/A,1445385600000,44,"35°29'44""W","7°29'44""S",,EOLCVPE028481-5,Operação,Versão Válida,PIE,-35.49552132299999,-7.495334581000009
6,6,Ventos de Santo Estevão I,260110,Araripina,PE,48500.003969/2013-51,"PRT 451/2014, DSP 2.602/2013",30000,Ventos de Santo Estevão I Energias Renováveis S.A.,1445385600000,384,"40°40'26,406""W","7°44'37,196""S",,EOLCVPE031761-6,Construção não iniciada,Versão Válida,PIE,-40.67385098800003,-7.743665464000003
7,7,Ventos de São Clemente 1,260320,Caetés,PE,48500.006489/2013-41,"PRT 627/2014, DSP 3.831/2013",30000,Ventos de São Clemente I Energias Renováveis S.A,1445385600000,590,"36°41'59,738""W","8°43'34,781""S",,EOLCVPE031818-3,Construção não iniciada,Versão Válida,PIE,-36.699932675000014,-8.726319666999984
8,8,Ventos de São Clemente 2,261600,Venturosa,PE,48500.006490/2013-76,"PRT 628/2014, DSP 3.832/2013",30000,Ventos de São Clemente II Energias Renováveis S.A.,1445385600000,591,"36°44'1,213""W","8°42'33,531""S",,EOLCVPE031819-1,Construção não iniciada,Versão Válida,PIE,-36.733656482000015,-8.709304420000024
9,9,Ventos de São Clemente 3,261600,Venturosa,PE,48500.006491/2013-11,"PRT 631/2014, DSP 3.833/2013",30000,Ventos de São Clemente III Energias Renováveis S.A.,1445385600000,592,"36°42'58,583""W","8°42'45,306""S",,EOLCVPE031820-5,Construção não iniciada,Versão Válida,PIE,-36.71623159799998,-8.71258949700001
10,10,Ventos de São Clemente 5,260320,Caetés,PE,48500.006485/2013-63,"PRT 632/2014, DSP 3.835/2013",30000,Ventos de São Clemente V Energias Renováveis S.A.,1445385600000,594,"36°45'23,603""W","8°46'47,724""S",,EOLCVPE031822-1,Construção não iniciada,Versão Válida,PIE,-36.75657081600002,-8.779932065000025
11,11,Ventos de São Clemente 6,260320,Caetés,PE,48500.006486/2013-16,"PRT 633/2014, DSP 3.836/2013",26000,Ventos de São Clemente VI Energias Renováveis S.A.,1445385600000,595,"36°42'45,006""W","8°45'39,882""S",,EOLCVPE031823-0,Construção não iniciada,Versão Válida,PIE,-36.71244775700001,-8.76105719200001
12,12,Ouro Branco 1,2611200,Poção,PE,48500.001419/2014-88,"PRT 647/2014, DSP  936/2014",30000,Eólica Energia Ltda.,1445385600000,584,"36° 44' 42,118"" W","8° 10' 42,778"" S",,EOLCVPE031807-8,Construção não iniciada,Versão Válida,PIE,-36.745032700000024,-8.178549551999993
