id,cod_ufv_exp,Nome_ufv_exp,Subsistema_ufv_exp,Potencia_ufv_exp,Situacao_ufv_exp,Ano_ufv_exp,lng_ufv_exp,lat_ufv_exp
121,121,Fazenda Esmeralda,NORDESTE,30,Expansão Contratada,2019,-35.958002713999974,-8.415996770999925
122,122,Boa Hora 3,NORDESTE,25,Expansão Contratada,2018,-36.21416223899996,-8.336102515999926
123,123,Boa Hora 2,NORDESTE,25,Expansão Contratada,2018,-36.21887515299994,-8.338005873999975
124,124,Boa Hora 1,NORDESTE,25,Expansão Contratada,2018,-36.21379871999994,-8.345153121999942
168,168,Brigida,NORDESTE,27,Expansão Contratada,2021,-39.591092068999956,-8.565874464999979
169,169,Brigida 2,NORDESTE,30,Expansão Contratada,2021,-39.60355415799995,-8.545233012999972
170,170,Solar Salgueiro,NORDESTE,30,Expansão Contratada,2021,-39.34452387899995,-8.080370559999949
171,171,Solar Salgueiro II,NORDESTE,30,Expansão Contratada,2021,-39.35339569399997,-8.085500749999937
172,172,Solar Salgueiro III,NORDESTE,30,Expansão Contratada,2021,-39.355472290999955,-8.083382335999943
182,182,São Pedro e Paulo V,NORDESTE,21,Expansão Contratada,2022,-37.94690596299995,-7.891196784999977
183,183,São Pedro e Paulo VI,NORDESTE,21,Expansão Contratada,2022,-37.94552721699995,-7.89120235799993
184,184,São Pedro e Paulo I,NORDESTE,25,Expansão Contratada,2022,-37.97787478899994,-7.872045574999959
